lith_word_studied,eng_word_studied,participant_id,delay_group,study1_start,study2_start,study3_start,study4_start,study5_start,jol_start,recall_start,jol_value,eng_word_response,recall_accuracy,study_test_lag
mokykla,school,PRISMAF11,PRISMAF,1501436905,1501437656,1501438341,1501439110,1501439835,1501441824,1501700969,17,book,0,4352.233333
dirzas,belt,PRISMAF11,PRISMAF,1501436921,1501437666,1501438325,1501439058,1501439787,1501441827,1501700983,0,money,0,4353.266667
pupa,bean,PRISMAF11,PRISMAF,1501436933,1501437616,1501438285,1501439098,1501439811,1501441821,1501700986,68,unsure,0,4352.916667
nafta,oil,PRISMAF11,PRISMAF,1501436949,1501437630,1501438299,1501439070,1501439825,1501441816,1501700974,59,unsure,0,4352.483333
sausainis,cookie,PRISMAF11,PRISMAF,1501436959,1501437722,1501438411,1501439162,1501439881,1501441839,1501701048,10,unsure,0,4352.783333
purvas,dirt,PRISMAF11,PRISMAF,1501436969,1501437732,1501438379,1501439150,1501439891,1501441842,1501701059,0,student,0,4352.8
traukinys,train,PRISMAF11,PRISMAF,1501436979,1501437678,1501438353,1501439122,1501439859,1501441836,1501701003,60,shirt,0,4352.4
arbata,tea,PRISMAF11,PRISMAF,1501436989,1501437694,1501438395,1501439172,1501439845,1501441830,1501701041,35,math,0,4353.266667
smuikas,violin,PRISMAF11,PRISMAF,1501437005,1501437710,1501438369,1501439138,1501439871,1501441833,1501701074,10,teacher,0,4353.383333
burna,mouth,PRISMAF11,PRISMAF,1501437021,1501437806,1501438453,1501439236,1501439959,1501441848,1501701104,7,clothing,0,4352.416667
daina,song,PRISMAF11,PRISMAF,1501437031,1501437790,1501438423,1501439222,1501439947,1501441857,1501701126,6,unsure,0,4352.983333
zele,jelly,PRISMAF11,PRISMAF,1501437047,1501437774,1501438479,1501439186,1501439933,1501441854,1501701090,73,drum,0,4352.616667
kriaukle,sink,PRISMAF11,PRISMAF,1501437057,1501437758,1501438463,1501439196,1501439905,1501441851,1501701111,2,skeleton,0,4353.433333
kamuolys,ball,PRISMAF11,PRISMAF,1501437067,1501437742,1501438437,1501439208,1501439919,1501441844,1501701131,0,unsure,0,4353.533333
gelezis,iron,PRISMAF11,PRISMAF,1501437077,1501437878,1501438551,1501439294,1501440025,1501441860,1501701187,1,cat,0,4352.7
kardas,sword,PRISMAF11,PRISMAF,1501437093,1501437818,1501438541,1501439310,1501440015,1501441873,1501701198,13,unsure,0,4353.05
tiltas,bridge,PRISMAF11,PRISMAF,1501437107,1501437862,1501438511,1501439278,1501439973,1501441869,1501701201,100,bridge,1,4353.8
smegenys,brain,PRISMAF11,PRISMAF,1501437117,1501437846,1501438527,1501439264,1501439999,1501441866,1501701148,4,unsure,0,4352.483333
sesuo,sister,PRISMAF11,PRISMAF,1501437133,1501437832,1501438495,1501439248,1501439987,1501441863,1501701145,44,eye,0,4352.633333
padazas,gravy,PRISMAF11,PRISMAF,1501437149,1501437888,1501438587,1501439322,1501440077,1501441894,1501701231,41,shirt,0,4352.566667
plyta,brick,PRISMAF11,PRISMAF,1501437161,1501437916,1501438571,1501439354,1501440093,1501441877,1501701209,0,table,0,4351.933333
lova,bed,PRISMAF11,PRISMAF,1501437173,1501437936,1501438601,1501439366,1501440037,1501441881,1501701205,43,unsure,0,4352.8
upe,river,PRISMAF11,PRISMAF,1501437187,1501437902,1501438561,1501439342,1501440049,1501441889,1501701223,97,shelf,0,4352.9
kirvis,axe,PRISMAF11,PRISMAF,1501437197,1501437926,1501438615,1501439332,1501440065,1501441885,1501701220,0,book,0,4352.583333
kunigas,priest,PRISMAF11,PRISMAF,1501437211,1501437994,1501438635,1501439438,1501440131,1501441900,1501701234,14,station,0,4351.716667
knyga,book,PRISMAF11,PRISMAF,1501437227,1501437972,1501438625,1501439394,1501440143,1501441904,1501701240,11,bread,0,4351.616667
varpas,bell,PRISMAF11,PRISMAF,1501437237,1501437960,1501438645,1501439410,1501440155,1501441911,1501701250,1,water,0,4351.583333
miestas,city,PRISMAF11,PRISMAF,1501437251,1501437950,1501438659,1501439378,1501440105,1501441906,1501701248,18,sister,0,4352.383333
lietus,rain,PRISMAF11,PRISMAF,1501437265,1501437982,1501438669,1501439424,1501440115,1501441897,1501701244,2,unsure,0,4352.15
batas,shoe,PRISMAF11,PRISMAF,1501437279,1501438018,1501438713,1501439486,1501440169,1501441928,1501701253,5,unsure,0,4351.4
karalius,king,PRISMAF11,PRISMAF,1501437295,1501438058,1501438729,1501439448,1501440201,1501441925,1501701256,95,unsure,0,4350.916667
akis,eye,PRISMAF11,PRISMAF,1501437307,1501438044,1501438701,1501439496,1501440179,1501441933,1501701275,89,unsure,0,4351.6
